question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[9, 8, 24, 1, 23]","['Text Embeddings', 'Text Embeddings', 'ReAct', 'Retrieval-Augmented Generation', 'ReAct']","[1.1132582426071167, 1.134385108947754, 1.1468783617019653, 1.1777102947235107, 1.210716724395752]",True,True,True
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[10, 9, 2, 1, 12]","['Vector Similarity', 'Text Embeddings', 'Hallucination', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.7772179245948792, 1.0664364099502563, 1.1099799871444702, 1.1497007608413696, 1.188730239868164]",False,True,True
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[11, 10, 12, 4, 15]","['Vector Similarity', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Document Chunking', 'Retrieval-Augmented Generation']","[0.7428644299507141, 1.0780377388000488, 1.1857225894927979, 1.1959261894226074, 1.2300771474838257]",True,True,True
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[11, 10, 12, 32, 9]","['Vector Similarity', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Trust Score', 'Text Embeddings']","[0.7710790038108826, 1.2398197650909424, 1.450403094291687, 1.5203800201416016, 1.5321872234344482]",True,True,True
Q17,What is FAISS used for?,Vector Similarity,"[12, 3, 11, 2, 16]","['Retrieval-Augmented Generation', 'Hallucination', 'Vector Similarity', 'Hallucination', 'Self-RAG']","[1.2863638401031494, 1.3883841037750244, 1.4375817775726318, 1.4408015012741089, 1.4809951782226562]",False,True,True
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[38, 12, 14, 19, 10]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'GraphRAG', 'Vector Similarity']","[1.063753366470337, 1.224092721939087, 1.2287406921386719, 1.2365641593933105, 1.2893682718276978]",False,False,True
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[13, 14, 35, 0, 17]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.6211295127868652, 0.7842767238616943, 0.8081488609313965, 0.828427791595459, 0.8674077391624451]",False,False,False
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[14, 15, 34, 35, 37]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Trust Score', 'Self-RAG', 'Self-RAG']","[0.5656266212463379, 0.8687284588813782, 0.9400980472564697, 1.029549241065979, 1.0540947914123535]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[15, 14, 35, 13, 34]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Trust Score']","[0.8765600919723511, 0.9073311686515808, 1.241658091545105, 1.3576242923736572, 1.4033087491989136]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[16, 15, 0, 3, 4]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Hallucination', 'Document Chunking']","[0.8420450091362, 0.9453059434890747, 1.1368777751922607, 1.175014615058899, 1.2336393594741821]",True,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[16, 15, 17, 0, 4]","['Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Document Chunking']","[0.8511462211608887, 0.8922147154808044, 0.947868287563324, 1.0047361850738525, 1.0652122497558594]",True,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[18, 20, 19, 35, 32]","['GraphRAG', 'GraphRAG', 'GraphRAG', 'Self-RAG', 'Trust Score']","[0.4910206198692322, 0.6713640689849854, 0.7713385820388794, 1.147031307220459, 1.1696239709854126]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[20, 18, 19, 35, 38]","['GraphRAG', 'GraphRAG', 'GraphRAG', 'Self-RAG', 'Self-RAG']","[0.6942811012268066, 0.8486099243164062, 1.1412510871887207, 1.267207145690918, 1.336043357849121]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[21, 22, 20, 23, 36]","['ReAct', 'ReAct', 'GraphRAG', 'ReAct', 'ReAct']","[0.5732741355895996, 0.6937693357467651, 1.1700416803359985, 1.1799144744873047, 1.2633771896362305]",True,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[22, 21, 23, 20, 36]","['ReAct', 'ReAct', 'ReAct', 'GraphRAG', 'ReAct']","[0.5945284962654114, 0.893653392791748, 1.1190756559371948, 1.3540420532226562, 1.3942512273788452]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[25, 27, 3, 26, 2]","['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']","[0.8046582937240601, 0.8202222585678101, 1.036975622177124, 1.0374689102172852, 1.199196457862854]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[30, 29, 31, 32, 24]","['Natural Language Inference', 'Natural Language Inference', 'Natural Language Inference', 'Trust Score', 'ReAct']","[0.8122615814208984, 0.9162778854370117, 1.1763660907745361, 1.237101435661316, 1.2413034439086914]",False,False,False
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[33, 32, 34, 28, 31]","['Trust Score', 'Trust Score', 'Trust Score', 'Hallucination', 'Natural Language Inference']","[0.6558587551116943, 0.8404887318611145, 1.3077316284179688, 1.4587899446487427, 1.4801025390625]",True,True,True
