question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[4, 12, 11, 0, 10]","['Text Embeddings', 'Hallucination', 'ReAct', 'Retrieval-Augmented Generation', 'GraphRAG']","[1.0737565755844116, 1.183349370956421, 1.2197424173355103, 1.2696969509124756, 1.3073763847351074]",True,True,True
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[5, 6, 4, 1, 0]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Text Embeddings', 'Hallucination', 'Retrieval-Augmented Generation']","[1.0182740688323975, 1.1114469766616821, 1.136803150177002, 1.163995385169983, 1.2480298280715942]",False,True,True
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[5, 7, 2, 0, 6]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Document Chunking', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.9329044818878174, 1.2269171476364136, 1.2494685649871826, 1.2864969968795776, 1.2945891618728638]",True,True,True
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[5, 16, 4, 6, 3]","['Vector Similarity', 'Trust Score', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Text Embeddings']","[1.041771411895752, 1.4668629169464111, 1.5255502462387085, 1.579066514968872, 1.6100331544876099]",True,True,True
Q17,What is FAISS used for?,Vector Similarity,"[5, 1, 6, 7, 0]","['Vector Similarity', 'Hallucination', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[1.4192389249801636, 1.437720775604248, 1.4972329139709473, 1.5108885765075684, 1.5421814918518066]",True,True,True
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[19, 0, 6, 9, 5]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'GraphRAG', 'Vector Similarity']","[1.0637531280517578, 1.2415766716003418, 1.2491867542266846, 1.2802445888519287, 1.3226754665374756]",False,False,True
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[7, 0, 6, 8, 18]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.721284806728363, 0.7846343517303467, 0.8419570922851562, 0.915493905544281, 0.9558427333831787]",False,False,False
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[7, 17, 18, 13, 8]","['Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Hallucination', 'Self-RAG']","[0.7790178060531616, 1.1584908962249756, 1.1712888479232788, 1.2949366569519043, 1.313502311706543]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[7, 17, 10, 18, 8]","['Retrieval-Augmented Generation', 'Self-RAG', 'GraphRAG', 'Self-RAG', 'Self-RAG']","[0.9055588841438293, 1.5295512676239014, 1.569976568222046, 1.5733681917190552, 1.5901951789855957]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[7, 8, 1, 0, 2]","['Retrieval-Augmented Generation', 'Self-RAG', 'Hallucination', 'Retrieval-Augmented Generation', 'Document Chunking']","[1.0472179651260376, 1.125173807144165, 1.243534803390503, 1.3119004964828491, 1.3408536911010742]",False,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[7, 8, 0, 2, 1]","['Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Document Chunking', 'Hallucination']","[0.877320408821106, 0.9726487994194031, 1.117008090019226, 1.1715047359466553, 1.2420920133590698]",False,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[9, 10, 16, 15, 19]","['GraphRAG', 'GraphRAG', 'Trust Score', 'Natural Language Inference', 'Self-RAG']","[0.526136577129364, 0.8006200790405273, 1.1744452714920044, 1.3115028142929077, 1.3387409448623657]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[10, 9, 19, 2, 18]","['GraphRAG', 'GraphRAG', 'Self-RAG', 'Document Chunking', 'Self-RAG']","[0.8170851469039917, 0.9300376772880554, 1.3360432386398315, 1.4045846462249756, 1.4193434715270996]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[10, 11, 18, 0, 19]","['GraphRAG', 'ReAct', 'Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.9074731469154358, 0.916365385055542, 1.3560702800750732, 1.5562644004821777, 1.6011316776275635]",False,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[11, 10, 18, 17, 0]","['ReAct', 'GraphRAG', 'Self-RAG', 'Self-RAG', 'Retrieval-Augmented Generation']","[0.8506737947463989, 1.1259911060333252, 1.419541358947754, 1.6492202281951904, 1.7275607585906982]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[13, 12, 1, 7, 11]","['Hallucination', 'Hallucination', 'Hallucination', 'Retrieval-Augmented Generation', 'ReAct']","[0.8524675369262695, 0.9671229720115662, 1.2146704196929932, 1.630194902420044, 1.67988920211792]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[14, 15, 16, 4, 12]","['Natural Language Inference', 'Natural Language Inference', 'Trust Score', 'Text Embeddings', 'Hallucination']","[0.7207375764846802, 0.9379961490631104, 1.1926634311676025, 1.2383720874786377, 1.2666195631027222]",False,False,False
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[16, 17, 15, 14, 18]","['Trust Score', 'Self-RAG', 'Natural Language Inference', 'Natural Language Inference', 'Self-RAG']","[0.6882471442222595, 1.321504831314087, 1.4421794414520264, 1.5716743469238281, 1.6039037704467773]",True,True,True
