question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[7, 1, 9, 10, 26]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.9155793190002441, 1.1037132740020752, 1.2122819423675537, 1.2264823913574219, 1.228148341178894]",False,False,False
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[8, 9, 11, 3, 0]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking', 'Retrieval-Augmented Generation']","[0.8450192213058472, 1.1233235597610474, 1.2253167629241943, 1.22698974609375, 1.2463499307632446]",True,True,True
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[8, 7, 24, 9, 22]","['Vector Similarity', 'Vector Similarity', 'Trust Score', 'Retrieval-Augmented Generation', 'Natural Language Inference']","[1.0275874137878418, 1.363855004310608, 1.4404098987579346, 1.4685959815979004, 1.527209758758545]",True,True,True
Q17,What is FAISS used for?,Vector Similarity,"[9, 8, 16, 12, 0]","['Retrieval-Augmented Generation', 'Vector Similarity', 'ReAct', 'Self-RAG', 'Retrieval-Augmented Generation']","[1.2558542490005493, 1.4495240449905396, 1.4555928707122803, 1.4906314611434937, 1.5020272731781006]",False,True,True
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[29, 9, 28, 10, 13]","['Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG']","[1.1442599296569824, 1.1693577766418457, 1.21346116065979, 1.2336294651031494, 1.269919991493225]",False,False,False
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[9, 0, 10, 11, 13]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.7706867456436157, 0.7744036316871643, 0.811028778553009, 0.8493971228599548, 0.8671712875366211]",False,False,False
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[10, 11, 26, 28, 12]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Self-RAG']","[0.6813185214996338, 0.7835519909858704, 1.0298972129821777, 1.138160228729248, 1.2658730745315552]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[11, 10, 26, 12, 0]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Retrieval-Augmented Generation']","[0.844177782535553, 1.0733712911605835, 1.3913953304290771, 1.5146894454956055, 1.5293265581130981]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[12, 11, 0, 3, 26]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking', 'Self-RAG']","[0.9642753601074219, 1.0263410806655884, 1.209828495979309, 1.2434110641479492, 1.3203179836273193]",True,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[12, 11, 0, 3, 26]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking', 'Self-RAG']","[0.8394389152526855, 0.8797289133071899, 1.0205620527267456, 1.0879344940185547, 1.2482576370239258]",True,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[14, 15, 13, 24, 26]","['GraphRAG', 'GraphRAG', 'Self-RAG', 'Trust Score', 'Self-RAG']","[0.5901396870613098, 0.7101870179176331, 0.7148846387863159, 1.2149758338928223, 1.2645509243011475]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[15, 13, 14, 26, 3]","['GraphRAG', 'Self-RAG', 'GraphRAG', 'Self-RAG', 'Document Chunking']","[0.7410825490951538, 0.9682909250259399, 1.1082618236541748, 1.322948694229126, 1.3981176614761353]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[16, 15, 17, 27, 0]","['ReAct', 'GraphRAG', 'ReAct', 'ReAct', 'Retrieval-Augmented Generation']","[0.8400365114212036, 1.009321689605713, 1.0973024368286133, 1.2368488311767578, 1.565952181816101]",True,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[16, 17, 15, 27, 18]","['ReAct', 'ReAct', 'GraphRAG', 'ReAct', 'ReAct']","[0.8531287908554077, 1.0327935218811035, 1.2315431833267212, 1.3310405015945435, 1.6085472106933594]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[19, 20, 2, 18, 11]","['Hallucination', 'Hallucination', 'Hallucination', 'ReAct', 'Retrieval-Augmented Generation']","[0.7342050671577454, 0.9661586284637451, 1.2532386779785156, 1.5487020015716553, 1.6286650896072388]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[22, 24, 21, 25, 23]","['Natural Language Inference', 'Trust Score', 'Natural Language Inference', 'Trust Score', 'Natural Language Inference']","[0.7822784185409546, 1.1219969987869263, 1.172546625137329, 1.2132141590118408, 1.219760537147522]",False,False,False
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[24, 25, 21, 23, 27]","['Trust Score', 'Trust Score', 'Natural Language Inference', 'Natural Language Inference', 'ReAct']","[0.7793058156967163, 1.2716896533966064, 1.4745161533355713, 1.4988312721252441, 1.520120620727539]",True,True,True
