question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[3, 0, 4, 2, 9]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Text Embeddings', 'Hallucination']","[1.0861471891403198, 1.158782958984375, 1.183306336402893, 1.191701889038086, 1.3242089748382568]",False,False,True
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[4, 3, 5, 12, 0]","['Retrieval-Augmented Generation', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Trust Score', 'Retrieval-Augmented Generation']","[1.15703284740448, 1.2167214155197144, 1.2578167915344238, 1.2789453268051147, 1.2901701927185059]",False,True,True
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[3, 4, 11, 12, 2]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Natural Language Inference', 'Trust Score', 'Text Embeddings']","[1.307204246520996, 1.503465175628662, 1.511381983757019, 1.6060210466384888, 1.63972806930542]",True,True,True
Q17,What is FAISS used for?,Vector Similarity,"[0, 5, 4, 13, 7]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'GraphRAG']","[1.4798996448516846, 1.5274384021759033, 1.609182357788086, 1.6278434991836548, 1.6385385990142822]",False,False,False
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[4, 14, 0, 6, 3]","['Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Self-RAG', 'Vector Similarity']","[1.1420953273773193, 1.210631012916565, 1.240445613861084, 1.2417486906051636, 1.3368074893951416]",False,False,True
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[0, 5, 4, 6, 13]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.7321904897689819, 0.733688473701477, 0.8216692209243774, 0.9209874272346497, 0.9419965147972107]",False,False,False
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[5, 12, 13, 14, 6]","['Retrieval-Augmented Generation', 'Trust Score', 'Self-RAG', 'Self-RAG', 'Self-RAG']","[0.8744474053382874, 1.0207090377807617, 1.1245572566986084, 1.1425451040267944, 1.258333444595337]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[5, 12, 13, 6, 14]","['Retrieval-Augmented Generation', 'Trust Score', 'Self-RAG', 'Self-RAG', 'Self-RAG']","[1.1276495456695557, 1.4101835489273071, 1.4329191446304321, 1.5069503784179688, 1.5674736499786377]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[5, 6, 0, 1, 9]","['Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation', 'Document Chunking', 'Hallucination']","[1.0575506687164307, 1.221338152885437, 1.3004024028778076, 1.4037102460861206, 1.4279305934906006]",False,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[5, 0, 6, 9, 1]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Hallucination', 'Document Chunking']","[0.9294090270996094, 1.1268607378005981, 1.135180950164795, 1.3090133666992188, 1.3272498846054077]",False,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[6, 7, 12, 11, 13]","['Self-RAG', 'GraphRAG', 'Trust Score', 'Natural Language Inference', 'Self-RAG']","[0.7958025932312012, 0.8120954632759094, 1.2695622444152832, 1.3252393007278442, 1.3580212593078613]",False,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[6, 7, 0, 12, 14]","['Self-RAG', 'GraphRAG', 'Retrieval-Augmented Generation', 'Trust Score', 'Self-RAG']","[0.9829890727996826, 1.0861971378326416, 1.3903955221176147, 1.4036407470703125, 1.4118387699127197]",False,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[7, 8, 0, 6, 13]","['GraphRAG', 'ReAct', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.8110664486885071, 1.1782153844833374, 1.5417263507843018, 1.5847808122634888, 1.589519739151001]",False,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[7, 8, 13, 0, 5]","['GraphRAG', 'ReAct', 'Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[1.1301634311676025, 1.2198517322540283, 1.6509532928466797, 1.7262736558914185, 1.765899896621704]",False,True,True
Q28,What is an LLM hallucination?,Hallucination,"[9, 10, 0, 1, 8]","['Hallucination', 'Hallucination', 'Retrieval-Augmented Generation', 'Document Chunking', 'ReAct']","[0.8463345766067505, 1.243556022644043, 1.4870645999908447, 1.5161571502685547, 1.5791975259780884]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[11, 10, 12, 3, 8]","['Natural Language Inference', 'Hallucination', 'Trust Score', 'Vector Similarity', 'ReAct']","[0.8848720788955688, 1.0900764465332031, 1.2059539556503296, 1.243573784828186, 1.2525155544281006]",False,False,False
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[12, 11, 13, 14, 6]","['Trust Score', 'Natural Language Inference', 'Self-RAG', 'Self-RAG', 'Self-RAG']","[0.9753557443618774, 1.4772956371307373, 1.5512193441390991, 1.6410846710205078, 1.6464577913284302]",True,True,True
