question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q11,What are text embeddings?,Text Embeddings,"[9, 2, 11, 12, 14]","['Text Embeddings', 'Retrieval-Augmented Generation', 'Text Embeddings', 'Vector Similarity', 'Vector Similarity']","[0.5263681411743164, 0.8434517979621887, 0.988421618938446, 1.0538825988769531, 1.0813615322113037]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[12, 14, 11, 10, 9]","['Vector Similarity', 'Vector Similarity', 'Text Embeddings', 'Text Embeddings', 'Text Embeddings']","[0.7235052585601807, 0.8546315431594849, 0.8987340331077576, 0.9437224268913269, 0.9654237031936646]",False,True,True
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[29, 1, 10, 28, 9]","['ReAct', 'Retrieval-Augmented Generation', 'Text Embeddings', 'ReAct', 'Text Embeddings']","[1.1481038331985474, 1.209221363067627, 1.2096055746078491, 1.2374846935272217, 1.2592864036560059]",False,True,True
Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[12, 2, 3, 14, 11]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Hallucination', 'Vector Similarity', 'Text Embeddings']","[0.6400536894798279, 0.8998794555664062, 1.0528254508972168, 1.1480343341827393, 1.1832503080368042]",False,False,True
Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[13, 16, 15, 0, 20]","['Vector Similarity', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.5706937313079834, 1.1677451133728027, 1.1986396312713623, 1.2365590333938599, 1.2631902694702148]",True,True,True
Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[13, 12, 14, 15, 40]","['Vector Similarity', 'Vector Similarity', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Trust Score']","[0.7635842561721802, 1.4371492862701416, 1.4786216020584106, 1.5446933507919312, 1.5720405578613281]",True,True,True
Q17,What is FAISS used for?,Vector Similarity,"[13, 27, 19, 26, 47]","['Vector Similarity', 'ReAct', 'Retrieval-Augmented Generation', 'ReAct', 'Self-RAG']","[1.3180848360061646, 1.3370938301086426, 1.4797508716583252, 1.5045822858810425, 1.50745689868927]",True,True,True
Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[15, 46, 45, 23, 2]","['Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'GraphRAG', 'Retrieval-Augmented Generation']","[1.0275062322616577, 1.061842441558838, 1.0928236246109009, 1.2061636447906494, 1.2533104419708252]",False,False,False
Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[19, 17, 43, 18, 0]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'ReAct', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.6373396515846252, 0.8213804364204407, 0.8350635766983032, 0.8456165790557861, 0.8541283011436462]",False,False,False
Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[17, 16, 41, 18, 42]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Trust Score', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.5895892977714539, 0.6312751770019531, 0.8678719997406006, 0.8810142278671265, 1.0176514387130737]",False,False,False
Q21,What is the primary objective of CRAG?,CRAG,"[18, 17, 16, 42, 15]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation']","[0.8212622404098511, 0.9419960379600525, 1.1185503005981445, 1.2973284721374512, 1.3657805919647217]",False,False,False
Q22,What is Self-RAG?,Self-RAG,"[20, 0, 18, 19, 1]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.8966529369354248, 1.0840601921081543, 1.2392513751983643, 1.2561726570129395, 1.2850935459136963]",True,True,True
Q23,How does Self-RAG make the generation process more adaptive?,Self-RAG,"[20, 0, 1, 19, 5]","['Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking']","[0.7464385628700256, 0.9675540328025818, 1.0432910919189453, 1.1186070442199707, 1.1548914909362793]",True,True,True
Q24,What is GraphRAG and what does it use to represent relationships?,GraphRAG,"[22, 24, 23, 42, 21]","['GraphRAG', 'GraphRAG', 'GraphRAG', 'Self-RAG', 'Self-RAG']","[0.3785645365715027, 0.7322784662246704, 0.9061287641525269, 1.1578795909881592, 1.3017371892929077]",True,True,True
Q25,Why is GraphRAG useful for multi-hop questions?,GraphRAG,"[24, 22, 21, 23, 3]","['GraphRAG', 'GraphRAG', 'Self-RAG', 'GraphRAG', 'Hallucination']","[0.7088738679885864, 0.7713643908500671, 1.2158076763153076, 1.279676914215088, 1.3354231119155884]",True,True,True
Q26,What does ReAct stand for and how does it work?,ReAct,"[25, 27, 26, 43, 0]","['ReAct', 'ReAct', 'ReAct', 'ReAct', 'Retrieval-Augmented Generation']","[0.5285965204238892, 0.7617073655128479, 0.9392129182815552, 1.0459519624710083, 1.5983636379241943]",True,True,True
Q27,What are some actions a ReAct system can perform?,ReAct,"[27, 26, 25, 43, 40]","['ReAct', 'ReAct', 'ReAct', 'ReAct', 'Trust Score']","[0.6502536535263062, 0.9061200022697449, 0.9063121676445007, 1.2029378414154053, 1.562819242477417]",True,True,True
Q28,What is an LLM hallucination?,Hallucination,"[32, 31, 30, 3, 33]","['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']","[0.9799321293830872, 1.0013341903686523, 1.0362334251403809, 1.0937860012054443, 1.1986720561981201]",True,True,True
Q29,What are the three common categories in Natural Language Inference?,NLI,"[36, 40, 33, 38, 4]","['Natural Language Inference', 'Trust Score', 'Hallucination', 'Natural Language Inference', 'Hallucination']","[0.7948122620582581, 1.1405905485153198, 1.1629197597503662, 1.179321527481079, 1.2069435119628906]",False,False,False
Q30,What signals can be combined to calculate a trust score?,Trust Score,"[39, 40, 41, 44, 35]","['Trust Score', 'Trust Score', 'Trust Score', 'ReAct', 'Natural Language Inference']","[0.9200773239135742, 1.17684805393219, 1.2639172077178955, 1.4424595832824707, 1.4434095621109009]",True,True,True
