model,question_id,question,expected_section,retrieved_chunk_ids,distances,hit@1,hit@3,context,answer,generation_time_seconds,correct,partially_correct,incorrect,unsupported,hallucinated
Gemma-3-4B-IT,Q11,What are text embeddings?,Text Embeddings,"[5, 6, 1]","[0.76286381483078, 0.897574782371521, 0.9668419361114502]",True,True,"d information. Chunk overlap can be used to preserve information that occurs near the boundary between two chunks.

For example, a document can be divided into chunks of 500 tokens with an overlap of 50 tokens. The optimal chunk size depends on the type and structure of the documents being processed.

3. Text Embeddings

Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

verts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

Texts with similar meanings should have similar vector representations. This property allows embedding models to be used for semantic search.

Sentence Transformers are commonly used to generate sentence and paragraph embeddings. Models such as all-MiniLM-L6-v2 and all-mpnet-base-v2 can convert text into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car ha

text to the language model.

A typical RAG pipeline contains several stages. First, documents are collected and divided into smaller chunks. Each chunk is converted into a numerical vector representation called an embedding. These embeddings are stored in a vector database. When a user submits a question, the question is also converted into an embedding. The system compares the query embedding with document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided","Text embeddings are numerical representations of text. An embedding model converts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space. Texts with similar meanings should have similar vector representations.",44.54604754000002,,,,,
Gemma-3-4B-IT,Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[7, 6, 8]","[0.7870162129402161, 0.9513875246047974, 0.9825470447540283]",False,False,"xt into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car has a high speed"" may have similar embeddings because they express related meanings.

Embedding quality has a direct effect on retrieval quality. If the embedding model fails to capture the meaning of a query or document, the retrieval system may return irrelevant information.

4. Vector Similarity

After converting documents and queries into embeddings, a RAG system needs a method to determine whic

verts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

Texts with similar meanings should have similar vector representations. This property allows embedding models to be used for semantic search.

Sentence Transformers are commonly used to generate sentence and paragraph embeddings. Models such as all-MiniLM-L6-v2 and all-mpnet-base-v2 can convert text into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car ha

fter converting documents and queries into embeddings, a RAG system needs a method to determine which documents are most relevant to a query.

Cosine similarity is one commonly used similarity measure. It measures the angle between two vectors. A higher cosine similarity generally indicates that two text representations are more semantically similar.

Vector databases and vector search libraries can efficiently search large collections of embeddings. FAISS is a library designed for efficient sim",Texts with similar meanings should have similar vector representations. This property allows embedding models to be used for semantic search.,50.4585728789998,,,,,
Gemma-3-4B-IT,Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[6, 17, 1]","[1.0299692153930664, 1.135625958442688, 1.1579186916351318]",False,False,"verts words, sentences, paragraphs, or documents into vectors in a high-dimensional numerical space.

Texts with similar meanings should have similar vector representations. This property allows embedding models to be used for semantic search.

Sentence Transformers are commonly used to generate sentence and paragraph embeddings. Models such as all-MiniLM-L6-v2 and all-mpnet-base-v2 can convert text into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car ha

swer

Possible actions include searching documents, querying databases, using APIs, or interacting with external tools.

ReAct can be useful for tasks that require multiple steps or external information. However, the final response still needs to be evaluated for factual correctness.

9. Large Language Models

Large Language Models, or LLMs, are machine learning models trained on large amounts of text data. They can perform tasks such as question answering, summarization, translation, reasoning,

text to the language model.

A typical RAG pipeline contains several stages. First, documents are collected and divided into smaller chunks. Each chunk is converted into a numerical vector representation called an embedding. These embeddings are stored in a vector database. When a user submits a question, the question is also converted into an embedding. The system compares the query embedding with document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided",all-MiniLM-L6-v2 and all-mpnet-base-v2,50.36976805100039,,,,,
Gemma-3-4B-IT,Q14,What happens if an embedding model fails to capture the meaning of a query?,Text Embeddings,"[7, 1, 9]","[0.9155793190002441, 1.1037132740020752, 1.2122819423675537]",False,False,"xt into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car has a high speed"" may have similar embeddings because they express related meanings.

Embedding quality has a direct effect on retrieval quality. If the embedding model fails to capture the meaning of a query or document, the retrieval system may return irrelevant information.

4. Vector Similarity

After converting documents and queries into embeddings, a RAG system needs a method to determine whic

text to the language model.

A typical RAG pipeline contains several stages. First, documents are collected and divided into smaller chunks. Each chunk is converted into a numerical vector representation called an embedding. These embeddings are stored in a vector database. When a user submits a question, the question is also converted into an embedding. The system compares the query embedding with document embeddings and retrieves the most relevant chunks. The retrieved chunks are then provided

an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret","If the embedding model fails to capture the meaning of a query or document, the retrieval system may return irrelevant information.",52.71171446000017,,,,,
Gemma-3-4B-IT,Q15,What is cosine similarity used for in RAG?,Vector Similarity,"[8, 9, 11]","[0.8450192213058472, 1.1233235597610474, 1.2253167629241943]",False,False,"fter converting documents and queries into embeddings, a RAG system needs a method to determine which documents are most relevant to a query.

Cosine similarity is one commonly used similarity measure. It measures the angle between two vectors. A higher cosine similarity generally indicates that two text representations are more semantically similar.

Vector databases and vector search libraries can efficiently search large collections of embeddings. FAISS is a library designed for efficient sim

an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret

d by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Evaluation
→ Correct Retrieval
→ Additional Retrieval if Necessary
→ Context Construction
→ Language Model
→ Final Answer

CRAG focuses primarily on improving the quality of the evidence supplied to the language model.

6. Self-RAG

Self-RAG, or Self-Reflective Retrieval-Augmented Generation, introduces self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, g",Cosine similarity is one commonly used similarity measure. It measures the angle between two vectors. A higher cosine similarity generally indicates that two text representations are more semantically similar.,56.805831562000094,,,,,
Gemma-3-4B-IT,Q16,What does a higher cosine similarity generally indicate?,Vector Similarity,"[8, 7, 24]","[1.0275874137878418, 1.363855004310608, 1.4404098987579346]",False,True,"fter converting documents and queries into embeddings, a RAG system needs a method to determine which documents are most relevant to a query.

Cosine similarity is one commonly used similarity measure. It measures the angle between two vectors. A higher cosine similarity generally indicates that two text representations are more semantically similar.

Vector databases and vector search libraries can efficiently search large collections of embeddings. FAISS is a library designed for efficient sim

xt into vector representations.

For example, the sentences ""The automobile is fast"" and ""The car has a high speed"" may have similar embeddings because they express related meanings.

Embedding quality has a direct effect on retrieval quality. If the embedding model fails to capture the meaning of a query or document, the retrieval system may return irrelevant information.

4. Vector Similarity

After converting documents and queries into embeddings, a RAG system needs a method to determine whic

her nodes. Edges between them can contain weights representing similarity, support, or contradiction.

For example:

Claim 1
→ supported by → Evidence 1

Claim 1
→ contradicted by → Evidence 2

Multiple claims can connect to multiple evidence sources, creating a graph that represents the overall evidence structure.

14. Trust Score

A trust score can combine multiple signals to estimate the reliability of a generated response.

Possible signals include:

Semantic similarity
Retrieval quality
NLI",A higher cosine similarity generally indicates that two text representations are more semantically similar.,36.5952481319996,,,,,
Gemma-3-4B-IT,Q17,What is FAISS used for?,Vector Similarity,"[9, 8, 16]","[1.2558542490005493, 1.4495240449905396, 1.4555928707122803]",False,False,"an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret

fter converting documents and queries into embeddings, a RAG system needs a method to determine which documents are most relevant to a query.

Cosine similarity is one commonly used similarity measure. It measures the angle between two vectors. A higher cosine similarity generally indicates that two text representations are more semantically similar.

Vector databases and vector search libraries can efficiently search large collections of embeddings. FAISS is a library designed for efficient sim

. It combines reasoning with actions that allow a language model to interact with external tools or information sources.

Instead of directly generating a final answer, the model can determine what action is required, perform the action, observe the result, and continue reasoning.

A simplified ReAct process is:

User Query
→ Reason
→ Action
→ Observation
→ Reason
→ Action
→ Observation
→ Final Answer

Possible actions include searching documents, querying databases, using APIs, or interacting w",FAISS is a library designed for efficient similarity search over dense vectors.,46.89412337600015,,,,,
Gemma-3-4B-IT,Q18,What is the general process from a query to Top-K retrieval?,Vector Similarity,"[29, 9, 28]","[1.1442599296569824, 1.1693577766418457, 1.21346116065979]",False,False,"ctive retrieval.

The final architecture and algorithm will be determined based on experimental results and the limitations identified during development.

an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret

rieval, reasoning, evidence evaluation, and verification strategies can be combined into a more reliable RAG architecture.

The system will be evaluated against existing approaches such as traditional RAG, CRAG, Self-RAG, GraphRAG, and ReAct.

The proposed algorithm may incorporate adaptive retrieval, evidence scoring, query analysis, re-ranking, context selection, response verification, and corrective retrieval.

The final architecture and algorithm will be determined based on experimental resu","Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results",41.66906026100014,,,,,
Gemma-3-4B-IT,Q19,What is Corrective Retrieval-Augmented Generation?,CRAG,"[9, 0, 10]","[0.7706867456436157, 0.7744036316871643, 0.811028778553009]",True,True,"an efficiently search large collections of embeddings. FAISS is a library designed for efficient similarity search over dense vectors.

The general retrieval process is:

Query
→ Query Embedding
→ Similarity Search
→ Ranked Documents
→ Top-K Results

5. Corrective Retrieval-Augmented Generation

Corrective Retrieval-Augmented Generation, commonly called CRAG, extends traditional RAG by evaluating the quality of retrieved information before generating the final answer.

In a basic RAG system, ret

RAG Knowledge Base

1. Retrieval-Augmented Generation

Retrieval-Augmented Generation, commonly known as RAG, is a technique that combines information retrieval with large language model generation. Instead of relying only on information stored inside the parameters of a language model, a RAG system retrieves relevant information from an external knowledge base and provides that information as context to the language model.

A typical RAG pipeline contains several stages. First, documents are co

the quality of retrieved information before generating the final answer.

In a basic RAG system, retrieved documents are directly passed to the language model. In CRAG, the retrieved information is evaluated. If the retrieved information is considered insufficient or unreliable, the system can perform additional retrieval or corrective actions.

The main objective of CRAG is to reduce errors caused by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Eva","Corrective Retrieval-Augmented Generation (CRAG) extends traditional RAG by evaluating the quality of retrieved information before generating the final answer. In a basic RAG system, retrieved documents are directly passed to the language model. In CRAG, the retrieved information is evaluated. If the retrieved information is considered insufficient or unreliable, the system can perform additional retrieval or corrective actions. The main objective of CRAG is to reduce errors caused by poor retrieval.",77.21821048399988,,,,,
Gemma-3-4B-IT,Q20,How does CRAG handle insufficient or unreliable retrieved information?,CRAG,"[10, 11, 26]","[0.6813185214996338, 0.7835519909858704, 1.0298972129821777]",True,True,"the quality of retrieved information before generating the final answer.

In a basic RAG system, retrieved documents are directly passed to the language model. In CRAG, the retrieved information is evaluated. If the retrieved information is considered insufficient or unreliable, the system can perform additional retrieval or corrective actions.

The main objective of CRAG is to reduce errors caused by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Eva

d by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Evaluation
→ Correct Retrieval
→ Additional Retrieval if Necessary
→ Context Construction
→ Language Model
→ Final Answer

CRAG focuses primarily on improving the quality of the evidence supplied to the language model.

6. Self-RAG

Self-RAG, or Self-Reflective Retrieval-Augmented Generation, introduces self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, g

n algorithm.

15. Limitations of Existing RAG Approaches

Traditional RAG can fail when irrelevant information is retrieved.

CRAG attempts to correct poor retrieval but primarily focuses on the retrieval stage.

Self-RAG introduces self-reflection but relies on the model's ability to evaluate its own responses.

GraphRAG improves relationship-based retrieval but does not automatically guarantee that the final response is factually correct.

ReAct enables reasoning and external actions but the f","If the retrieved information is considered insufficient or unreliable, the system can perform additional retrieval or corrective actions.",54.15630384499991,,,,,
Gemma-3-4B-IT,Q21,What is the primary objective of CRAG?,CRAG,"[11, 10, 26]","[0.844177782535553, 1.0733712911605835, 1.3913953304290771]",True,True,"d by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Evaluation
→ Correct Retrieval
→ Additional Retrieval if Necessary
→ Context Construction
→ Language Model
→ Final Answer

CRAG focuses primarily on improving the quality of the evidence supplied to the language model.

6. Self-RAG

Self-RAG, or Self-Reflective Retrieval-Augmented Generation, introduces self-reflection into the RAG process.

A Self-RAG system can decide when retrieval is necessary, g

the quality of retrieved information before generating the final answer.

In a basic RAG system, retrieved documents are directly passed to the language model. In CRAG, the retrieved information is evaluated. If the retrieved information is considered insufficient or unreliable, the system can perform additional retrieval or corrective actions.

The main objective of CRAG is to reduce errors caused by poor retrieval.

A simplified CRAG pipeline is:

User Query
→ Initial Retrieval
→ Retrieval Eva

n algorithm.

15. Limitations of Existing RAG Approaches

Traditional RAG can fail when irrelevant information is retrieved.

CRAG attempts to correct poor retrieval but primarily focuses on the retrieval stage.

Self-RAG introduces self-reflection but relies on the model's ability to evaluate its own responses.

GraphRAG improves relationship-based retrieval but does not automatically guarantee that the final response is factually correct.

ReAct enables reasoning and external actions but the f",The main objective of CRAG is to reduce errors caused by poor retrieval.,50.808479270000134,,,,,
